id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
NO0016,Cartório Notarial de Baixa da Banheira - Joaquina Craveiro,38.660198,-9.045555,,,,,,joaquina.craveiro@notarios.pt,,"Rua Alves Redol, nº 36 - B",,,,,,Moita,,,,,090195|090198|090199|090201|090202|090209
NO0017,Cartório Notarial do Barreiro - Sónia Marina Meira Alves dos Santos Louro,38.661258,-9.074854,,,,,,sonia.louro@notarios.pt,,"Av. Miguel Bombarda, nº 33",,,,,,Barreiro,,,,,040080|040137|040179
NO0018,Cartório Notarial de Lisboa - Fátima Sousa,38.714355,-9.139109,,,,,,fatimaramada@notarios.pt,,"Praça D. Pedro IV (Rossio), nº 74 - 1º A",,,,,,Lisboa,,,,,
NO0019,Cartório Notarial de Cascais - Luís Belchior,38.715881,-9.44667,,,,,,luis.belchior@notarios.pt,,"Alameda dos Combatentes da Grande Guerra, Ed. S. José , 4 Sala 402",,,,,,Cascais,,,,,
NO0020,Cartório Notarial de Lisboa - Ana Rita Ribeiro da Costa,38.719659,-9.148614,,,,,,ana.costa@notarios.pt,,"Rua do Salitre, nº 119",,,,,,Lisboa,,,,,
NO0021,Cartório Notarial de Lisboa - Patrícia Rizzo Fernandes,38.719659,-9.148614,,,,,,patricia.fernandes@notarios.pt,,Rua do Salitre nº 119 - Dtº.,,,,,,Lisboa,,,,,
NO0022,Cartório Notarial Protesto de Letras de Lisboa,38.720206,-9.135362,,,,,,cnpl.lisboa@dgrn.mj.pt,,"Avenida AlmiranteReis, 104 - 4",,,,,,Lisboa,,,,,
NO0023,Cartório Notarial de Lisboa - Ana Paula Marques Ucha,38.722817,-9.148213,,,,,,ana.ucha@notarios.pt,,"Av. da Liberdade, nº 245 - 4º - F",,,,,,Lisboa,,,,,
NO0024,Cartório Notarial de Lisboa - Carla Soares,38.722817,-9.148213,,,,,,carla.soares@notarios.pt,,Av. da Liberdade. Nº 9 - 6º,,,,,,Lisboa,,,,,
NO0025,Cartório Notarial de Lisboa - Pedro Rodrigues,38.723125,-9.150598,,,,,,pedro.rodrigues@notarios.pt,,"Rua Mouzinho da Silveira, nº 32 - 1º e 2º",,,,,,Lisboa,,,,,060033|060123|060143|060462
NO0026,Cartório Notarial de Lisboa - Raquel Dorotêa,38.723276,-9.151833,,,,,,raquel.dorotea@notarios.pt,,"Rua Castilho, nº 44 - 1º",,,,,,Lisboa,,,,,060035|060405|060407
NO0027,Cartório Notarial de Lisboa - M.ª Teresa Leite,38.723347,-9.152318,,,,,,teresa.leite@notarios.pt,,"Rua Castilho, nº 61, r/c Esq.",,,,,,Lisboa,,,,,060035|060149|060405|060407
NO0028,Cartório Notarial de Lisboa - Filipe Miguel Mendes das Neves Luís Ferreira,38.723400,-9.15192,,,,,,filipe.ferreira@notarios.pt,,"Rua Castilho n.º 44, 1.º andar",,,,,,Lisboa,,,,,060035|060405|060407
NO0029,Cartório Notarial de Lisboa - Ana Vera Pargana Bentes Gomes de Araújo Arnaut Pombeiro,38.723584,-9.162276,,,,,,vera.araujo@notarios.pt,,"Av. Eng. Duarte Pacheco, Torre II, 9.º Sala 3",,,,,,Lisboa,,,,,060027|060037
NO0030,Cartório Notarial de Lisboa - Eduardo Fernandes,38.724127,-9.147882,,,,,,eduardo.fernandes@notarios.pt,,"Rua Rodrigues Sampaio, nº 97 - 5º Esq.º",,,,,,Lisboa,,,,,
NO0031,Cartório Notarial de Lisboa - Gonçalo Rodrigo Barreiros Rodrigues Soares Cruz,38.725105,-9.153764,,,,,,goncalo.cruz@notarios.pt,,"Rua Joaquim António de Aguiar, nº 45, R/C Esq.",,,,,,Lisboa,,,,,060033|060035|060123|060143|060149|060405|060407|060462
NO0032,Cartório Notarial de Oeiras - Ana Filipa Rodrigues Rosa,38.7284.187,-9.248108,,,,,,ana.rosa@notarios.pt,,"Edifício Aqueduto, Avenida de Portugal, n.º 74-D",,,,,,Oeiras,,,,,
NO0033,Cartório Notarial de Lisboa - Frederico Fernandes Soares Franco,38.729614,-9.147533,,,,,,fredericosf@notarios.pt,,"Avenida Fontes Pereira de Melo, nº 21 - 3º",,,,,,Lisboa,,,,,
NO0034,Cartório Notarial de Lisboa - Ana de Melo Geraldes Sequeira Borges,38.729949,-9.148242,,,,,,ana.borges@notarios.pt,,"Rua do Viriato, 8-C",,,,,,Lisboa,,,,,
NO0035,Cartório Notarial de Lisboa - M.ª Céu Garcia,38.732699,-9.152397,,,,,,ceu.garcia@notarios.pt,,Av. António Augusto de Aguiar nº 130 - 1º,,,,,,Lisboa,,,,,
NO0036,Cartório Notarial de Lisboa – Adelaide Josefa de Campos Videira,38.732774,-9.145682,,,,,,adelaide.videira@notarios.pt,,"Avenida Fontes Pereira de Melo, 47, 1º Dto.",,,,,,Lisboa,,,,,
NO0037,Cartório Notarial de Lisboa - João Rodrigues,38.733150,-9.146929,,,,,,joao.rodrigues@notarios.pt,,"Av. 5 de Outubro, nº 17 - 1º",,,,,,Lisboa,,,,,
NO0038,Cartório Notarial de Lisboa - M.ª Rosa Correia,38.733456,-9.146218,,,,,,rosa.correia@notarios.pt,,"Av. Praia da Vitória, nº 73, 1º Esq.",,,,,,Lisboa,,,,,
NO0039,Cartório Notarial de Lisboa – Joaquim Manuel Mendes Lopes,38.735115,-9.151698,,,,,,joaquim.lopes@notarios.pt,,"Avenida 5 de outubro, 72, 7ºB",,,,,,Lisboa,,,,,
NO0040,Cartório Notarial de Lisboa - Ana Filipa Pinto Figueiredo Duarte de Andrade,38.736098,-9.14678,,,,,,ana.andrade@notarios.pt,,Av. João Crisóstomo n.º5 R/C Esq.,,,,,,Lisboa,,,,,
NO0041,Cartório Notarial de Lisboa – Joaquim António Barata Lopes,38.736464,-9.135435,,,,,,joaquim.barata.lopes@notarios.pt,,"Avenida da Liberdade, nº 67-B, 3.º",,,,,,Lisboa,,,,,
NO0042,Cartório Notarial de Sintra - Ana Sofia Valada Roque,38.780509,-9.253938,,,,,,ana.roque@notarios.pt,,"Praceta das Descobertas, nº 22 e 22-A, Escritório 1, Cacém",,,,,,Sintra,,,,,172161|172191|172570
NO0043,Cartório Notarial de Amadora - Ana Filipa de Losada Marcelino Tomás,38.781241,-9.224372,,,,,,ana.tomas@notarios.pt,,"Praceta das Flores,  15 A, Quinta Grande Alfragide",,,,,,Amadora,,,,,030261|030263|030265|030266|030275
NO0044,Cartório Notarial de Moscavide - Ana Rita Pacheco Ramos,387.816136,-9.101544,,,,,,ana.ramos@notarios.pt,,"Rua Adão Manuel Ramos Barata, nº2 B, Condomínio Oriente",,,,,,Loures,,,,,
NO0045,Cartório Notarial de Loures - Lígia Mafalda Valdez Milagres Pontes Garcia,38.783061,-9.113735,,,,,,ligia.garcia@notarios.pt,,"Rotunda Nuno Rodrigues dos Santos, nº2-2C, Centro Comercial da Portela loja 41, 1º andar",,,,,,Loures,,,,,070601|070602|070603|070605|070607|071443|071444
NO0046,Cartório Notarial de Loures - May de Figueiredo Bordadágua,38.789200,-9.10573,,,,,,0,,"Rua Sport Grupo Sacavenense, 16B e 16C",,,,,,Loures,,,,,070515|070689|070691|070693|071275|071276|071315|071316|071505
NO0047,Cartório Notarial de Odivelas - Mabília Rita Silva Pereira,38.789918,-9.178936,,,,,,mabilia.pereira@notarios.pt,,"Av. D. Dinis, n.º 6, R/C Esq.º (loja)",,,,,,Odivelas,,,,,110091|110093|110094|110099|110100|110102|110221|110401|110411|110713
NO0048,Cartório Notarial de Odivelas - Sandra Brás,38.791295,-9.176849,,,,,,sandra.bras@notarios.pt,,"Centro Comercial Odivelas Parque, loja 2110 - 1º piso, Estrada da Paiã",,,,,,Odivelas,,,,,110091|110093|110094|110097|110099|110100|110109|110110|110129|110130|110131|110132|110221|110395|110401|110402|110403|110405|110407|110408|110409|110410|110411|110627|110628|110713|110857|111016|111017
NO0049,Cartório Notarial de Odivelas - Catarina Silva,38.793364,-9.175765,,,,,,catarina.silva@notarios.pt,,"Rua Alfredo Roque Gameiro, 20-A",,,,,,Odivelas,,,,,110129|110130|110131|110132|110387|110388|110395|110405
NO0050,Cartório Notarial de Sintra - Maria Margarida Salgado Fernandes,38.794835,-9.333582,,,,,,margarida.fernandes@notarios.pt,,"Rua Sofia de Melo Breyner 10, loja esq. Tapada das Mercês",,,,,,Sintra,,,,,
NO0051,Cartório Notarial de Sintra - Marta Susana da Costa Jorge,38.796154,-9.346077,,,,,,marta.jorge@notarios.pt,,"Rua Malva Rosa, 34A",,,,,,Sintra,,,,,170097|170099|170802|171871|171872
NO0052,Cartório Notarial de Sintra - Diovana Barbieri,38.799186,-9.384768,,,,,,diovana.barbieri@notarios.pt,,"Rua João de Deus, 23-A",,,,,,Sintra,,,,,171879|171880|171913|171923
NO0053,Cartório Notarial de Sintra - Claúdia Vieira da Silva,38.799980,-9.383658,,,,,,claudia.silva@notarios.pt,,"Avenida do Movimento das Forças Armadas, 12, r/c esq. Portela de Sintra",,,,,,Sintra,,,,,171877|171878|171879|171880|171917|171953
NO0054,Cartório Notarial de Loures - Sofia Alves Paulico Valente,38.830260,-9.16854,,,,,,sofia.valente@notarios.pt,,"Rua Combatentes da Grande Guerra, 4, r/c",,,,,,Loures,,,,,070029|070032|070037|070453|070479|070527|070529
NO0055,Cartório Notarial de Loures - Rosa Maria Mendes de Matos Alves Duarte,38.839928,-9.157299,,,,,,rosamatosalves@notarios.pt,,"Rua  Fernão Mendes Pinto, nº 7, r/c Dtº. Infantado",,,,,,Loures,,,,,070381|070437|070439|070441
NO0056,Cartório Notarial de Vila Franca de Xira - Marília Susana Luzio Rodrigues,38.864080,-9.064375,,,,,,marilia.rodrigues@notarios.pt,,"Rua do Tejo, lote 9, loja Esq. - Póvoa de Santa Iria",,,,,,Vila Franca de Xira,,,,,180565|180566|180567|180568|180569|180570|180583|180584|180621|180622|180637|180638|180669|182250
NO0057,Cartório Notarial de Vila Franca de Xira - Joana de Oliveira Soares de Azevedo,38.871008,-9.060616,,,,,,joana.azevedo@notarios.pt,,"Rua Maria Carlota d’Oliveira, lote 100, loja, Casal da Serra – Póvoa de Santa Iria",,,,,,Vila Franca de Xira,,,,,180497|180533|180534|180535|180536|180537|180551|180553|180585
NO0058,Cartório Notarial de Alverca do Ribatejo - Maria Filomena Valente Ferreira Marto,38.894847,-9.038944,,,,,,filomena.marto@notarios.pt,,"Estrada Nacional nº10, Edifício Jardim Parque, Loja 1 Piso 0",,,,,,Vila Franca de Xira,,,,,180053|180054|180101|180104|180193|180195|180197|180209|180211|180213|180721|180722|180723|182252
NO0059,Cartório Notarial de Alverca - Vitor Márlon Caldeira França Câmara,38.896279,-9.038646,,,,,,vitor.camara@notarios.pt,,"Av. Capitão João de Almeida Meleças, 83a",,,,,,Vila Franca de Xira,,,,,180051|180052|180053|180054|180055|180101|180102|180104|180193|180195|180209|180211|180213|180721|180722|180723
NO0060,Cartório Notarial de Sesimbra - Magda Susana Gonçalves Barbosa Alves,38.443085,-9.102754,,,,,,susana.alves@notarios.pt,,Av. João Paulo II lote 5 - r/c Esq. - Cotovia,,,,,,Sesimbra,,,,,150423|150425|150427|150429|150451|150453|150457|150461|150463|150594
NO0061,Cartório Notarial de Setúbal - Ana Sofia Rodrigues Pinto Chainho,38.518639,-8.81106,,,,,,ana.chainho@notarios.pt,,"Rua Frei José da Purificação, nº 4, Loja direita",,,,,,Setúbal,,,,,
NO0062,Cartório Notarial de Setúbal - Teresa Oliveira,38.527363,-8.893435,,,,,,teresa.oliveira@notarios.pt,,"Av. 22 de Dezembro, nº 21 D",,,,,,Setúbal,,,,,160097|160099|160105|160107|160109|160123|160137|160157|160158|160223|160251|160273|160409|160521|160522|160531|160961
NO0063,Cartório Notarial de Setúbal - Sandra Morais Teles Bolhão,38.527380,-8.88335,,,,,,sandra.bolhao@notarios.pt,,"Av. Bento Gonçalves, 20C",,,,,,Setúbal,,,,,160029|160031|160063|160064|160065|160066
NO0064,Cartório Notarial do Barreiro - Aniana Coelho Serra Bilimória,38.662473,-9.05865,,,,,,aniana.bilimoria@notarios.pt,,"Rua Miguel Bombarda, 188 - A",,,,,,Barreiro,,,,,
NO0065,Cartório Notarial de Almada - Susana Ribeiro de Brito Valle,38.671337,-9.157255,,,,,,susana.valle@notarios.pt,,"Av.  António  José Gomes,  nº  62  B  - 1º    D.    Cova   da Piedade",,,,,,Almada,,,,,020069|020079|020103|020104|020497|020533|020535|020740|020957|029004
NO0066,Cartório Notarial de Almada – Liliana Marina Malveiro Caeiro Coelho Gaboleiro,38.673830,-9.159939,,,,,,liliana.gaboleiro@notarios.pt,,"Rua D. Pedro de Almeida Portugal, 12F",,,,,,Almada,,,,,020065|020066|020067|020081|020101|020103|020104|020105|020106|020107|020117|020743|020744|020745|020746
NO0067,Cartório Notarial de Almada - Rita Magalhães,38.673895,-9.16707,,,,,,rita.magalhaes@notarios.pt,,Rua Galileu Saúde Correia 9 C Pragal,,,,,,Almada,,,,,020279|020280|020365|020366|020405|020407|020425|020427|020747|020748|020749|020750|020761|029806|029807|029808|029809
NO0068,Cartório Notarial de Almada - Dora Maria Gaspar Gomes Mesquita e Carmo,38.675192,-9.16664,,,,,,dora.carmo@notarios.pt,,"Rua Torcato José Clavine, n.º 3, Piso ( -1) Esq.",,,,,,Almada,,,,,020013|020014|020063|020064|020365|020366|020405|020407|020425|020427|029806|029807
NO0069,Cartório Notarial de Oeiras – Maria José Mota Maia Oliveira,38.688764,-9.319577,,,,,,maria.jose.oliveira@notarios.pt,,Largo Henrique de Paiva Couceiro 42 r/c Dto,,,,,,Oeiras,,,,,120729|120787|120788|120829|120830|121187|121188|121207|121235|121270|121272|121291|121297
NO0070,Cartório Notarial de Cascais - Francisca do Carmo Mendes de Almeida,38.689202,-9.354875,,,,,,francisca.almeida@notarios.pt,,"Edf. Centro da Parede - Rua Capitão Leitão, 1º B e C",,,,,,Cascais,,,,,050041|050043|050047|050049
NO0071,Cartório Notarial de Cascais - Marta Isabel Ribeiro Gomes,38.696608,-9.368208,,,,,,marta.gomes@notarios.pt,,"Av. da Tílias, 136- A, Jardins da Parede",,,,,,Cascais,,,,,
NO0072,Cartório Notarial de Cascais - Marcus Vinícius da Conceição Tralhão,38.698420,-9.42228,,,,,,notariograndola@gmail.com,,"Rua do Poço Novo, 244",,,,,,Cascais,,,,,
NO0073,Cartório Notarial de Cascais - Maria Andreia Meireles Craveiro,38.698420,-9.42228,,,,,,andreia.meireles@notarios.pt,,"Rua do Poço Novo, 244",,,,,,Cascais,,,,,
NO0074,Cartório Notarial de Lisboa - Sandra Isabel de Matos Branco,38.698448,-9.226375,,,,,,sandra.branco@notarios.pt,,Praça D. Manuel Primeiro nº3F,,,,,,Lisboa,,,,,120081|120261|120325|120327|120328|120339|120340|120341|120401|121061|121095|121308|121309
NO0075,Cartório Notarial de Oeiras - Jorge Artur de Oliveira Lopes,38.699300,-9.30356,,,,,,0,,"Alameda Bonifácio Lázaro Lozano, 3, piso 2A e 2B",,,,,,Oeiras,,,,,120747|120749|120750|120751|120752|120753|120754|120849|120850|120851|120852|120853|120854|120867|120869|120870|120895|121115|121116
NO0076,Cartório Notarial de Oeiras - Lucinda Gravata,38.699534,-9.304256,,,,,,lucinda.gravata@notarios.pt,,"Alameda Bonifácio Lázaro Lozano, n.º 3 Piso 2-A",,,,,,Oeiras,,,,,120747|120749|120750|120751|120752|120849|120850|120851|120852|120853|120854|120867|120869|120870|120895|121115|121116
NO0077,Cartório Notarial de Cascais - Francisca Maria Cequeira da Silva Ribeiro de Castro,38.700177,-9.419278,,,,,,francisca.castro@notarios.pt,,"Rua Dra. Iracy Doyle nº 43, 1ºdto",,,,,,Cascais,,,,,050205|050247|050249|050319|050419|050424
NO0078,Cartório Notarial de Oeiras - Ana Sofia Carrilho,38.701183,-9.296171,,,,,,ana.sofia.carrilho@notarios.pt,,"Estrada de Paço de Arcos, n°9, 1° andar, Escritório B",,,,,,Oeiras,,,,,120607|120608|120687|120765|120766|120767|120768|120891|121243
NO0079,Cartório Notarial de Algés - Margarita Palma,38.703211,-9.22737,,,,,,cartorio.mp@gmail.com,,"Av. dos Bombeiros Voluntários, nº 31 Loja direita",,,,,,Oeiras,,,,,120187|120188|120189|120190|120191|120193|120195|120209|120227|120229|120231|120341|120343|120344|120401|121059
NO0080,Cartório Notarial de Lisboa - Paula Alexandra Marques da Luz,38.703354,-9.177179,,,,,,paula.luz@notarios.pt,,"Rua Cascais, 33 C, Loja R",,,,,,Lisboa,,,,,060379
NO0081,Cartório Notarial de Cascais - Ana Luísa Balmori Padesca,38.703949,-9.395098,,,,,,ana.padesca@notarios.pt,,"Rua Biarritz, nº 4, 1º, Escritório E, Estoril",,,,,,Cascais,,,,,050359|050361|050363|050364
NO0082,Cartório Notarial de Montijo - Mariana da Cunha Ribeiro Ferreira,38.706895,-8.979514,,,,,,mariana.ferreira@notarios.pt,,"Av. Dos Pescadores, Nº 133 e 135",,,,,,Montijo,,,,,100013|100027|100081|100083|100085|100093|100094|100095|100141|100143
NO0083,Cartório Notarial do Montijo - M.ª Fátima Duarte,38.707020,-8.966094,,,,,,fatima.duarte@notarios.pt,,"Edf. João XXIII, Rua Joaquim da Serra,  249",,,,,,Montijo,,,,,100073|100074|100075|100077|100097|100099
NO0084,Cartório Notarial de Lisboa - Alexandre Gonçalo Oliveira Perdigão,38.709988,-9.13805,,,,,,alexandre.perdigao@notarios.pt,,"Rua dos Sapateiros, nº 39 - 1º Dtº.",,,,,,Lisboa,,,,,
NO0085,Cartório Notarial de Oeiras - Vítor Manuel Rodrigues Pereira,38.711200,-9.23098,,,,,,vitor.pereira@notarios.pt,,"Av. Jaime Cortesão, 20A",,,,,,Oeiras,,,,,120179|120180|120181|120182|120183|120184|120235|120351|120353|120354|121067|121069
NO0086,Cartório Notarial de Lisboa - Anabela Pinto,38.711829,-9.138406,,,,,,anabela.pinto@notarios.pt,,"Rua dos Sapateiros nº 158, 2º",,,,,,Lisboa,,,,,
NO0087,Cartório Notarial de Lisboa - Lúcia Maria de Ataíde Oliveira Sucena,38.737070,-9.14406,,,,,,lucia.ataide@notarios.pt,,"Av. Defensores de Chaves, 51B,",,,,,,Lisboa,,,,,
NO0088,Cartório Notarial de Lisboa - Georgina Martins,38.737300,-9.164119,,,,,,georgina.martins@notarios.pt,,"Rua Basílio Teles, 35 - B",,,,,,Lisboa,,,,,060025
NO0089,Cartório Notarial de Lisboa - José Pereira,38.739012,-9.153491,,,,,,jose.pereira@notarios.pt,,"Avenida de Berna, nº 30, piso 3, escritório E",,,,,,Lisboa,,,,,061219|061220
NO0090,Cartório Notarial de Lisboa - Isabel Ferreira,38.739620,-9.133589,,,,,,isabel.ferreira@notarios.pt,,"Av. Almirante Reis,  202, r/c Dtº.",,,,,,Lisboa,,,,,
NO0091,Cartório Notarial de Lisboa - Joana de Faria Maia,38.740342,-9.147332,,,,,,joana.faria.maia@notarios.pt,,"Av. Barbosa du Bocage, nº88-A",,,,,,Lisboa,,,,,061216|061217|061218
NO0092,Cartório Notarial de Lisboa - Rui Januário,38.743154,-9.149037,,,,,,rui.januario@notarios.pt,,"Av. 5 de Outubro, nº 52 - 1º Esq.",,,,,,Lisboa,,,,,061217|061218
NO0093,Cartório Notarial de Lisboa - António Soares,38.743834,-9.147364,,,,,,antonio.soares@notarios.pt,,"Avenida da República,  15 1º Fte",,,,,,Lisboa,,,,,061217|061218
NO0094,Cartório Notarial de Lisboa - Sofia Henriques,38.743834,-9.147364,,,,,,sofia.henriques@notarios.pt,,"Av. da República, nº 6 - 1º Dto",,,,,,Lisboa,,,,,061217|061218
NO0095,Cartório Notarial de Lisboa - Melania Jones Dores Valente Ribeiro,38.749399,-9.171185,,,,,,melania.ribeiro@notarios.pt,,"Rua Manuel da Silva Leal, nº 7 - C",,,,,,Lisboa,,,,,
NO0096,Cartório Notarial de Lisboa - Elisa Maria das Neves Saraiva,38.751060,-9.18046,,,,,,elisa.saraiva@notarios.pt,,"Rua João de Freitas Branco, 13A",,,,,,Lisboa,,,,,
NO0097,Cartório Notarial de Queluz - Isabel Menezes Correia,38.752610,-9.28022,,,,,,isabel.menezes.correia@notarios.pt,,"Avenida Heróis da Liberdade, 31 A, 1",,,,,,Sintra,,,,,120521|120522|170857|170905|170906|170907|170939|170941|170967|170968|172193|172194|172479|172496|172553
NO0098,Cartório Notarial de Lisboa – Ana Rita Vieira Pereira,38.752681,-9.188755,,,,,,geral@cartorioanapereira.pt,,"Av. do Colégio Militar, 20B",,,,,,Lisboa,,,,,060015|060068|060125|060127|060129|060131|060134|060363|060364|060365|060440
NO0099,Cartório Notarial de Sintra - Ana Rita Vieira Pereira,38.752875,-9.256464,,,,,,geral@cartorioanapereira.pt,,"Rua Heliodoro Salgado, 10",,,,,,Sintra,,,,,172057|172059|172061|172063|172067|172069|172071|172505|172509
NO0100,Cartório Notarial de Alcochete - M.ª José Castanho,38.753820,-8.959199,,,,,,maria.castanho@notarios.pt,,"Rua Carlos Manuel Rodrigues Francisco, 253",,,,,,Alcochete,,,,,010001|010002|010005|010025|010027|010028|010030|010073|010079|010080|010141|010142|010161
NO0101,Cartório Notarial de Amadora - Vanessa Santa Rosa Miguel Corte Rebello de Andrade,38.753879,-9.233474,,,,,,geral@cartoriovra.pt,,"Av. Conde Castro Guimarães, nº 26-A",,,,,,Amadora,,,,,030465|030467|030479|030481|030537|030538|030539|030541|030601|030837|030841|030867
NO0102,Conservatória do Registo Civil/Predial/Comercial/Cartório Notarial de Alcochete,38.754953,-8.960106,,,,,,registos.alcochete@irn.mj.pt,,"Rua Hélder António, 7",,,,,,Alcochete,,,,,010001|010002|010005|010025|010027|010028|010073|010079|010080|010161
NO0103,Cartório Notarial de Sintra - Andreia Filipa Monteiro Duarte,38.756575,-9.255088,,,,,,andreia.duarte@notarios.pt,,"Av. António Enes, 7A",,,,,,Sintra,,,,,170925|170926|170927|170928|172061|172063|172065|172067|172073|172476|172495|172499|172536
NO0104,Cartório Notarial de Sintra - Bruna Maurícia Martins Cota Valadão Rocha,38.757326,-9.259937,,,,,,bruna.rocha@notarios.pt,,"Avenida José Elias Garcia, 197, A/B",,,,,,Sintra,,,,,170923|170924|170925|170926|172502|172507
NO0105,Cartório Notarial de Lisboa - M.ª Helena Nogueira,38.757671,-9.11189,,,,,,helena.afonso@notarios.pt,,"Av. D. João II, lote 4.53.01, loja 4, Parque das Nações - zona Norte da Expo Lisboa",,,,,,Lisboa,,,,,
NO0106,Cartório Notarial de Lisboa - Teresa Vieira,38.758115,-9.094139,,,,,,teresa.vieira@notarios.pt,,"Parque das Nações –Zona Sul - Rua das Musas, 3.08.03C",,,,,,Lisboa,,,,,
NO0107,Cartório Notarial de Amadora - Ana Isabel Fazeres dos Santos Tomé,38.758120,-9.235249,,,,,,ana.tome@notarios.pt,,"Rua Alfredo Keil,  30, 1.º Dto.",,,,,,Amadora,,,,,030317|030319|030467|030469|030475|030477|030479|030539|030601|030685|030821|030845|030869|030880
NO0108,Cartório Notarial de Amadora - Ana Paula Martins Cotinho Fernandes,38.758280,-9.228203,,,,,,ana.fernandes@notarios.pt,,"Rua Elias Garcia,  382 A",,,,,,Amadora,,,,,030091|030093|030105|030107|030603|030604|030605|030606|030727|030876|030877
NO0109,Cartório Notarial de Amadora - Marlene Lopes Duarte Neto,38.760703,-9.205356,,,,,,marlene.duarte@notarios.pt,,"Rua Capitães de Abril, 6B",,,,,,Amadora,,,,,030397|030398|030399|030400|030402|030409|030739
NO0110,Cartório Notarial de Lisboa - Marlene Lopes Duarte Neto,38.762924,-9.181392,,,,,,marlene.duarte@notarios.pt,,"Alameda Roentgen, 8",,,,,,Lisboa,,,,,
